feedback
A comida estava deliciosa e o atendimento impecável.
Esperei mais de 40 minutos pelo prato e ainda veio errado.
"Ambiente agradável, mas a música estava muito alta."
"Preço justo e porções generosas, voltarei com certeza."
Garçom mal-educado e demora para trazer a conta.
"Recebi o produto antes do prazo, tudo certo."
Produto veio com defeito e ninguém responde no suporte.
"Fácil de comprar, site bem intuitivo."
Difícil de encontrar informações sobre troca e devolução.
"Excelente serviço, recomendo muito a loja!"
App trava muito e fecha sozinho.
"Gostei da interface, muito fácil de usar."
"Faltam funções básicas, precisa melhorar."
Atendimento via chat foi rápido e resolveu meu problema.
"O app me ajudou muito no dia a dia, parabéns!"
